"Bergin, Hugh","Chapman, J.","Han, Q.",,,,,,,,,
"Bergmüller, Claudia","Charlton M., Frank R.","Hanley, Chris",,,,,,,,,
"Berlin, Anita","Charnley, Helen","Hanley, Natalya",,,,,,,,,
"Bermejo, María Luisa","Chaves, Willandia A.","Hannachi, L.",,,,,,,,,
"Bermúdez Reyes, Elba",,"Hartmeyer, Helmuth",,,,,,,,,
,"Cheng, Chloe","Hassan, A.",,,,,,,,,
"Bernal Matínez de Soria, Aurora","Cheung, Samuel","Hatley, Jenny",,,,,,,,,
"Berry, Christopher","Chin, Yoomi","Hatton, A.",,,,,,,,,
"Bertely Busquets, María ","Chopra, Vidur","Heggart, K. R.",,,,,,,,,
"Bertolotto, Giulia","Chou, Pei-I",Hegoa,,,,,,,,,
"Betancourt Posada, Alberto","Chovanec, Donna M.",,,,,,,,,,
"Betti, Francesca","Christoph, K.","Hernández Umaña, B. A.",,,,,,,,,
,"Chung, Connie K.","Hevia Artime, I.",,,,,,,,,
"Biccum, April R.","Chunyan, C.","Hipólito, Natalia Ruiz",,,,,,,,,
"Biesiada, Piotr",Chutorański A.,"Ho, Yann-Ru",,,,,,,,,
"Biesta, Gert",,"Hobbs, J. J.",,,,,,,,,
"Binka, Bohuslav",Clarke-Habibi S.,"Hogenstijn, M.",,,,,,,,,
"Binns, Tony","Claudino, Sérgio","Holthoff, T.",,,,,,,,,
"Black, Karen","Clavijo Gutiérrez, N. O.","Hong, B. P.",,,,,,,,,
"Black, Rosalyn",,"Hosack, I.T.",,,,,,,,,
"Blackmore, Chloe","Clemens, Iris","Hoult, Simon",,,,,,,,,
"Blanch, Joan Pagès","Clemons, Anthony C",Howard K.,,,,,,,,,
"Blanco-Portela, Norka","Cobos-Sanchiz, David","Hunt, Frances",,,,,,,,,
,"Coelho, Dalila P.","Huynh, M. Q.",,,,,,,,,
"Blasco-Serrano, Ana Cristina","Coelho, La Salete",ITECO.,,,,,,,,,
,"Coelho, La Salete et al.",,,,,,,,,,
"Blum, Nicole",,"Inguaggiato, Carla",,,,,,,,,
"Blumenfeld-Lieberthal, Efrat","Coene, J.","Inukai, N.",,,,,,,,,
"Boetto, Heather","Cole, R.","Ishimori, H.",,,,,,,,,
"Boger, Julia","Coma-Roselló, Teresa","Ivorra Catalá, E.",,,,,,,,,
"Bois, Evelyne","Contini, Rina Manuela"," Leek, Joanna",,,,,,,,,
"Bonals Picas, Joan","Cook, Sharon A.","Jarkiewicz, A.",,,,,,,,,
"Boneti, Lindomar Wessler",,"Jeliazkova, M. I.",,,,,,,,,
"Boni, Aristizábal Alejandra","Cooke, Melanie","Jerez, H.",,,,,,,,,
,"Corbi, E.","Jimmy, Elwood",,,,,,,,,
"Bonilla Baquero, Carlos Bolívar ","Corigliano, F.","Jiménez Aceituno, A.",,,,,,,,,
"Boparai, Shina","Cornejo Sosa, M. J.","Juanes García, J.",,,,,,,,,
"Bordiec, Sylvain","Correia, Ana Margarida","Juchtmans, G.",,,,,,,,,
"Borer, Valérie Lussi","Cortina-Oriol, M. (Eds.)","Judge, R. C.",,,,,,,,,
"Borkovic, Shinead","da Costa, Marta",KIKUCHI T.,,,,,,,,,
"Borland, Ralph","Cotton, A.","Kaderi, A. S.",,,,,,,,,
"Borrero Rivero, Rolando","Cowe, I.","Kambel, E.",,,,,,,,,
"Boser, Natascha Diharce","Culp, Julian","Karsenti, T.",,,,,,,,,
,"Curley, Stephanie","Kasiyan, M.",,,,,,,,,
"Bosio, Emiliano","Cushner, K.","Keibler, M. S.",,,,,,,,,
"Bourgeois-Guérin, Élise","Cáceres Reche, M. P.","Keitges, M.",,,,,,,,,
"Bourn, Douglas", ,,,,,,,,,,
,"Dhar, D.","Kester, E.P.",,,,,,,,,
"Boussalis, Constantine","Hammett, D.","Kestin, T. (Coord.)",,,,,,,,,
