,type,title,author_1,author_2,author_3,author_4,author_5,author_6,author_7,author_8,author_9,author_10,year,publisher,main_theme,publisher_place,secondary_theme,lang,link,doi,publication_country,search_term,rest
1853,Doctoral Theses,"La comunicación para el desarrollo de ""problema"" a ""conflicto"". Diseño de un modelo de comunicación y educación para las organizaciones no gubernamentales de desarrollo (ONGD). ","Erro Sala, J.",,,,,,,,,,2017,Universidad Pública de Navarra,['Non-formal education'],,[],Spanish,https://academica-e.unavarra.es/handle/2454/32158,not found,,EDUCACIÓN PARA EL DESARROLLO,
1854,Doctoral Theses,Contribución para el conocimiento del componente educativo en contextos de ecoturismo en Portugal,"Folgado Morais, J. P.",,,,,,,,,,2017,Departamento de Ecología. Universidad Autónoma de Madrid,['Non-formal education'],,[],Spanish,http://hdl.handle.net/10486/681002,not found,,EDUCACIÓN PARA EL DESARROLLO SOSTENIBLE,
1874,Doctoral Theses,Actitudes y concepciones pedagógicas hacia la diversidad cultural y la interculturalidad en el contexto universitario. Un estudio con alumnado de grado de educación primaria.,"Pareja de Vicente, D.",,,,,,,,,,2017,Universidad de Málaga,"['training of trainers', 'Teacher education']",,[],Spanish,https://riuma.uma.es/xmlui/bitstream/handle/10630/15676/TD_PAREJA_DE_VICENTE_Dolores.pdf?sequence=1&isAllowed=y,not found,,CIUDADANÍA GLOBAL,
1875,Doctoral Theses,Inclusión de la educación para el desarrollo sustentable en la formación de profesores de Biología y Ciencias de la Universidad de Serena (Chile),"Ramos Araya, M. C.",,,,,,,,,,2017,Universidad de Barcelona,"['training of trainers', 'Teacher education']",,[],Spanish,https://dialnet.unirioja.es/servlet/tesis?codigo=136869,not found,,EDUCACIÓN PARA EL DESARROLLO SOSTENIBLE,
1940,Doctoral Theses,Aprendizaje móvil y ciudadanía espacial en la educación para el desarrollo sostenible. Una propuesta para la enseñanza de las ciencias sociales en educación secundaria obligatoria.,"Lahmidi, Meriam Boulahrouz ",,,,,,,,,,2018,Universidad de Girona,['Formal Education'],,[],Spanish,https://www.tesisenred.net/handle/10803/620791#page=2,not found,,EDUCACIÓN PARA EL DESARROLLO SOSTENIBLE,
1941,Doctoral Theses,La escuela alternativa: un modelo en búsqueda de la Justicia Social y Ambiental,"Carneros Revuelta, S.",,,,,,,,,,2018,Universidad Autónoma de Madrid,['Formal Education'],,[],Spanish,https://repositorio.uam.es/bitstream/handle/10486/685437/carneros_revuelta_sergio.pdf?sequence=1&isAllowed=y,not found,,EDUCACIÓN PARA EL DESARROLLO SOSTENIBLE,
1942,Doctoral Theses,Representaciones de justicia social en estudiantes de educación primaria. Estudio cuantitativo y cualitativo comparado entre España y Argentina.,"Juanes García, J.",,,,,,,,,,2018,Universidad Autónoma de Madrid,['Formal Education'],,[],Spanish,https://repositorio.uam.es/handle/10486/682707,not found,,CIUDADANÍA GLOBAL,
1964,Doctoral Theses,Arte comunitario desde el trabajo de calle para la promoción social de adolescentes en situación de riesgo social. El caso de espacio mestizo de León; una buena práctica europea en acción comunitaria intercultural.,"Alonso Martínez, H.",,,,,,,,,,2018,Universitat Ramon Llull,"['community work', 'Informal education including youth work, media']",,[],Spanish,https://www.tdx.cat/bitstream/handle/10803/461858/Tesi_Hector_Alonso.pdf?sequence=2&isAllowed=y,not found,,CIUDADANÍA GLOBAL,
1965,Doctoral Theses,Políticas de educación intercultural en las autonomías indígena originaria campesinas en Bolivia,"Arispe Hinojosa, V.",,,,,,,,,,2018,Universidad del País Vasco,"['community work', 'Informal education including youth work, media']",,[],Spanish,https://addi.ehu.es/bitstream/handle/10810/28891/TESIS_ARISPE_HINOJOSA_VALENTIN.pdf?sequence=1&isAllowed=y,not found,,CIUDADANÍA GLOBAL,
1966,Doctoral Theses,Procesos de formación campesinos y disputa territorial para construir soberanía alimentaria,"Casado, B.",,,,,,,,,,2018,Universidad del País Vasco,"['community work', 'Informal education including youth work, media']",,[],Spanish,https://addi.ehu.es/handle/10810/32067,not found,,CIUDADANÍA GLOBAL,
1967,Doctoral Theses,Fronteras y trans-migraciones del diálogo intercultural implicancias del acto educativo como acción estética y emancipadora,"Gutiérrez Bonilla, J. C.",,,,,,,,,,2018,Universidad de Barcelona,"['community work', 'Informal education including youth work, media']",,[],Spanish,https://www.tdx.cat/handle/10803/667000#page=1,not found,,CIUDADANÍA GLOBAL,
1997,Doctoral Theses,La conciencia ambiental de los futuros maestros de educación primaria. Diseño de una propuesta didáctica mediante la aplicación de herramientas metacognitivas.,"Laso Salvador, S.",,,,,,,,,,2018,Universidad de Valladolid,"['training of trainers', 'Teacher education']",,[],Spanish,http://uvadoc.uva.es/handle/10324/28618,not found,,EDUCACIÓN PARA EL DESARROLLO SOSTENIBLE,
